TITLE: Bill of Materials
DATE: 10/30/2020
DESIGN: max86176_wrist_evkit_d
VARIANT:do_not_install


13,2,"R16, R17",Pref,80-0010K-18,ERJ-2RKF1002,PANASONIC,10K,RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.1000W, 
14,1,R18,Pref,80-0100K-18,ERJ-2RKF1003,PANASONIC,100K,RES; SMT (0402); 100K; 1%; +/-100PPM/DEGC; 0.1000W, 
15,1,U1,Pref,00-SAMPLE-01,MAX86176,MAXIM,MAX86176,EVKIT PART - IC; MAX86176; ULTRA-LOW POWER; OPTICAL PPG AND SINGLE LEAD ECD AFE; PACKAGE OUTLINE DRAWING: 21-100413; PACKAGE CODE: N362D2+1, 
16,3,"U2, U3, U14",Pref,ED1259,VEMD8080,VISHAY,VEMD8080,DIODE; PIN; SMT; VRM=20V; IF=0.05A ;NOTE:PURCHASE DIRECT FROM THE MANUFACTURER, 
17,1,U4,Pref,EQ111000005315,LIS2DS12,ST MICROELECTRONICS,LIS2DS12,IC; MEMS; DIGITAL OUTPUT MOTION SENSOR; ULTRA-LOW-POWER HIGH-PERFORMANCE 3-AXIS PICO ACCELEROMETER; MICROELECTROMECHANICAL SYSTEMS; LGA12; NOTE: MANUFACTURER, 
18,1,U20,Pref,EX111000005339,SIT1572AI-J3-18E-DCC-32.768,SITIME CORPORATION,SIT1572AI-J3-18E-DCC-32.768,OSCILLATOR; CSP 1.5 MM X 0.8 MM; 15PF; 32.768KHZ ; +/-10PPM, 
19,1,PCB,-,EPCB86176WRIST,MAX86176WRIST,MAXIM,PCB,PCB:MAX86176WRIST,-,-
TOTAL,38

DO NOT PURCHASE(DNP)
ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,2,"R3B, R4B",DNP,80-0000R-26A,ERJ-2GE0R00,PANASONIC,0,RES; SMT (0402); 0; JUMPER; JUMPER; 0.1000W, 
2,1,R7,DNP,80-0000R-95,CRCW02010000ZS;ERJ-1GN0R00,VISHAY DALE;PANASONIC,0,RES; SMT (0201); 0; 1%; JUMPER; 0.0500W, 
3,1,R11,DNP,80-0100K-18,ERJ-2RKF1003,PANASONIC,100K,RES; SMT (0402); 100K; 1%; +/-100PPM/DEGC; 0.1000W, 
4,2,"R28, R29",DNP,80-0010K-18,ERJ-2RKF1002,PANASONIC,10K,RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.1000W, 
5,3,"C18, C44, C45",DNP,N/A,N/A,N/A,OPEN,PACKAGE OUTLINE 0402 NON-POLAR CAPACITOR - EVKIT, 
6,4,"R1, R2, R4, R10",DNP,N/A,N/A,N/A,OPEN,PACKAGE OUTLINE 0402 RESISTOR - EVKIT, 
7,2,"R1A, R3",DNP,N/A,N/A,N/A,OPEN,PACKAGE OUTLINE 0201 RESISTOR - EVKIT, 
8,2,"R37, R38",DNP,N/A,N/A,N/A,SHORT,PACKAGE OUTLINE 0201 RESISTOR - EVKIT FORM FACTOR FOOTRINT, 
TOTAL,17

PACKOUT (These are purchased parts but not assembled on PCB and will be shipped with PCB)
ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
TOTAL,0
