TITLE: Bill of Materials
DATE: 12/23/2020
DESIGN: mrd104_microboard_apps_b
VARIANT:do_not_purchase


ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
25,1,J4,Pref,01-DX07S024JJ324P-26,DX07S024JJ3R1300,JAE ELECTRONIC INDUSTRY,DX07S024JJ3,CONNECTOR; FEMALE; SMT; USB TYPE-C CONNECTOR; DX07 SERIES RECEPTACLE; RIGHT ANGLE; 24PINS, 
26,4,"L1-L3, L5",Pref,50-002U2-0PD,DFE201612E-2R2M,MURATA,2.2UH,INDUCTOR; SMT (0806); WIREWOUND CHIP; 2.2UH; TOL=+/-20%; 1.8A, 
27,1,L4,Pref,50-002U2-OXF,MLP2012H2R2MT0S1,TDK,2.2UH,INDUCTOR; SMT (0805); FERRITE; 2.2UH; 20%; 1A, 
28,1,L7,Pref,50-00220-SM2,BLM21PG221SN1,MURATA,220,INDUCTOR; SMT (0805); FERRITE-BEAD; 220; TOL=+/-25%; 0.2A, 
29,1,L8,Pref,51-02000-0AJ,HZ1206C202R-10,LAIRD TECHNOLOGIES,2000,INDUCTOR; SMT (1206); FERRITE-BEAD; 2000; TOL=+/-25%; 0.3A, 
30,1,R5,Pref,80-0000R-26A,ERJ-2GE0R00,PANASONIC,0,RES; SMT (0402); 0; JUMPER; JUMPER; 0.1000W, 
31,2,"R6, R7",Pref,80-005K1-P0,ERJ-1GNF5101C,PANASONIC,5.1K,RES; SMT (0201); 5.1K; 1%; +/-200PPM/DEGC; 0.0500W, 
32,2,"R9, R10",Pref,80-0027R-95,ERJ-1GEF27R0C,PANASONIC,27,RES; SMT (0201); 27; 1%; +/-100PPM/DEGC; 0.0500W, 
33,3,"R13, R19, R20",Pref,ER111000003379,ERJ-1GNF4701,PANASONIC,4.7K,RES; SMT (0201); 4.7K; 1%; +/-200PPM/DEGC; 0.0500W, 
34,1,R14,Pref,80-0010K-Q6,ERJ-2GEJ103,PANASONIC,10K,RES; SMT (0402); 10K; 5%; +/-200PPM/DEGC; 0.1000W, 
35,1,R15,Pref,ER111000002587,ERJ-2LWFR010,PANASONIC,0.01,RES; SMT (0402); 0.01; 1%; 0 TO +500PPM/DEGC; 0.2000W, 
36,4,"R16, R23-R25",Pref,80-003K3-95,ERJ-1GEF3301C,PANASONIC,3.3K,RES; SMT (0201); 3.3K; 1%; +/-100PPM/DEGC; 0.0500W, 
37,3,"R22, R73, R74",Pref,80-0010K-AA89,ERJ-1GNJ103,PANASONIC,10K,RES; SMT (0201); 10K; 5%; +/-200PPM/DEGC; 0.0500W, 
38,27,"R26, R28, R29, R31-R36, R40-R42, R50, R51, R53-R59, R61, R62, R64, R72, R75, R78",Pref,80-0000R-95,CRCW02010000ZS;ERJ-1GN0R00,VISHAY DALE;PANASONIC,0,RES; SMT (0201); 0; 1%; JUMPER; 0.0500W, 
39,1,R27,Pref,80-0001M-18,ERJ-2RKF1004,PANASONIC,1M,RES; SMT (0402); 1M; 1%; +/-100PPM/DEGC; 0.1000W, 
40,1,R37,Pref,80-0010R-95,ERJ-1GEF10R0,PANASONIC,10,RES; SMT (0201); 10; 1%; +/-100PPM/DEGC; 0.0500W, 
41,1,R43,Pref,80-004K7-23,CRCW04024K70FK;MCR01MZPF4701,VISHAY DALE;ROHM SEMICONDUCTOR,4.7K,RES; SMT (0402); 4.7K; 1%; +/-100PPM/DEGC; 0.0630W, 
42,1,R44,Pref,80-0022R-Q6,ERJ-2GEJ220,PANASONIC,22,RES; SMT (0402); 22; 5%; +/-200PPM/DEGC; 0.1000W, 
43,7,"R45, R65-R68, R70, R71",Pref,80-0010K-23,CRCW040210K0FK;RC0402FR-0710KL,VISHAY DALE;YAGEO PHICOMP,10K,RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.0630W, 
44,3,R46-R48,Pref,80-0001K-CA54,TNPW04021K00BE,VISHAY DALE,1K,RES; SMT (0402); 1K; 0.10%; +/-25PPM/DEGC; 0.1000W, 
45,1,R69,Pref,80-0025K-BA64,PNM0402E2502BS,VISHAY DALE,25K,RES; SMT (0402); 25K; 0.10%; +/-25PPM/DEGK; 0.0500W, 
46,1,RT1,Pref,83-0010K-0AN,NCP03XH103J05,MURATA,10K,THERMISTOR; SMT (0201); 10K OHM; TOL=+/-5%, 
47,1,SW1,Pref,EH111000004113,434153017835	,WURTH ELECTRONICS INC,434153017835	,SWITCH; SPST; SMT; 12V; 0.05A;WS-TASV J-BEND TACT SWITCH; RCONTACT=0.1 OHM; RINSULATION=100M OHM, 
48,1,SW2,Pref,EH111000005105,EVP-AA102K,PANASONIC,EVP-AA102K,SWITCH; SPST; SMT; 15V; 0.02A; EVPAA SERIES WITH GROUND TERMINAL; LIGHT TOUCH SWITCH; RCONTACT=0.1 OHM; RINSULATION=100M OHM; WITH SPECIAL ASSEMBLY INSTRUCTIONS, 
49,1,U1,Pref,00-SAMPLE-01,MAX20360FEWZ+,MAXIM,MAX20360FEWZ+,EVKIT PART- IC; PMIC WITH ULTRA-LOW IQ REGULATORS; CHARGER; FUEL GAUGE; AND HAPTIC DRIVER FOR SMALL LI+ SYSTEM; PACKAGE OUTLINE DRAWING: 21-100373; WLP 72 PINS; 0.5MM PITCH; PKG. CODE: W724A4+1, 
50,1,U2,Pref,00-SAMPLE-02,MAX32674CGWGZ+,MAXIM,MAX32674CGWGZ+,EVKIT PART - IC; MAX32674CGWGZ+; PACKAGE OUTLINE DRAWING: 21-100151; PACKAGE CODE: W241H2+1; WLP24,CONTACT WITH MAXIM CUSTOMER SERVICE BEFORE ORDERING THIS PART
51,1,U3,Pref,EQ111000004114,MX25U51245GZ4I54,MACRONIX INTERNATIONAL CO LTD,MX25U51245GZ4I54,IC; MMRY; CMOS MXSMIO; SERIAL MULTI I/O; FLASH MEMORY; WSON8-EP, 
52,1,U5,Pref,10-MAX32666GXMBT-B,MAX32666GXMBT+,MAXIM,MAX32666GXMBT+,IC; UCON; LOW-POWER ARM CORTEX-M4 WITH FPU-BASED; MICROCONTROLLER WITH BLUETOOTH 5 FOR WEARABLES; BGA121, 
53,2,"U6, U7",Pref,10-MAX9062EBSG45-B,MAX9062EBS+G45,MAXIM,MAX9062EBS+G45,IC; COMP; ULTRA-SMALL; LOW-POWER SINGLE COMPARATOR; UCSP4, 
54,1,U8,Pref,10-MAX3207EAUT-U,MAX3207EAUT+,MAXIM,MAX3207EAUT+,"IC; PROT; DUAL, QUAD, AND HEX HIGH-SPEED DIFFERENTIAL ESD-PROTECTION IC; SOT23-6", 
55,2,"U9, U10",Pref,10-MAX4737EBE-B,MAX4737EBE+,MAXIM,MAX4737EBE+,IC; ASW; 4.5OHM QUAD SPST ANALOG SWITCH IN UCSP; 2X2; UCSP16, 
56,1,U11,Pref,10-MAX14689EWL-W,MAX14689EWL+,MAXIM,MAX14689EWL+,IC; ASW; ULTRA-SMALL LOW-RON BEYOND-THE-RAILS DPDT ANALOG SWITCHES; WLP9, 
57,1,Y1,Pref,60-32K76-0AL,ABS07-32.768KHZ-6-T,ABRACON,32.768KHZ,CRYSTAL; SMT; 6PF; 32.768KHZ; +/-20PPM; -0.036PPM/T2, 
58,1,Y2,Pref,60-0032M-0EW,FA-20H 32.0000MF12Y-W3,EPSON,32MHZ,CRYSTAL; SMT 2.5MMX2MM; 32MHZ; +/-10PPM; +/-12PPM, 
59,1,Y3,Pref,60-32K76-0ET,CM1610H32768DZB,CITIZEN,32.7680KHZ,CRYSTAL; SMT 1.6MMX1MM; 6PF; 32.7680KHZ; +/-20PPM, 
60,1,PCB,-,N/A,MRD104_MICROBOARD_APPS_B,MAXIM,PCB,PCB:MRD104_MICROBOARD_APPS_B,-,-
TOTAL,151

DO NOT PURCHASE(DNP)
ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,2,"B+, B-",DNP,02-TPMINI5001-00,5001,KEYSTONE,N/A,TEST POINT; PIN DIA=0.1IN; TOTAL LENGTH=0.3IN; BOARD HOLE=0.04IN; BLACK; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; RECOMMENDED FOR BOARD THICKNESS=0.062IN; NOT FOR COLD TEST, 
2,1,C65,DNP,20-0001U-B8,C0402C105K8PAC;CC0402KRX5R6BB105,KEMET;YAGEO,1UF,CAP; SMT (0402); 1UF; 10%; 10V; X5R; CERAMIC, 
3,1,U4,DNP,EQ111000005315,LIS2DS12,ST MICROELECTRONICS,LIS2DS12,IC; MEMS; DIGITAL OUTPUT MOTION SENSOR; ULTRA-LOW-POWER HIGH-PERFORMANCE 3-AXIS PICO ACCELEROMETER; MICROELECTROMECHANICAL SYSTEMS; LGA12; NOTE: MANUFACTURER, 
4,2,"C57, C58",DNP,N/A,N/A,N/A,OPEN,CAPACITOR; SMT (0201); OPEN; FORMFACTOR, 
5,17,"R1, R8, R12, R17, R18, R21, R30, R38, R39, R49, R52, R60, R63, R76, R77, R79, R80",DNP,N/A,N/A,N/A,OPEN,RESISTOR; 0201; OPEN; FORMFACTOR, 
TOTAL,23

PACKOUT (These are purchased parts but not assembled on PCB and will be shipped with PCB)
ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
TOTAL,0
